sr.no,name,address,lattitude ,longitude ,phone number ,node ,District,website 
1,"Anantrao Pawar College of Engineering and Research (APCOER), Parvati, Pune","S. No. 103, Shahu College Road, Laxminagar, Parvati, Pune - 411009, Maharashtra, India",18.49071249,73.84341068,,Pune,Pune,
2,"Zeal College of Engineering and Research, Narhe, Pune","Survey No. 39, Narhe-Dhayari Road, Narhe, Pune - 411041, Maharashtra, India",18.44878871,73.82619246,,Pune,Pune,
3,"Sinhgad Institute of Technology and Science (SITS), Narhe, Pune","49/1, Off Mumbai-Bangalore Bypass, Narhe, Pune - 411041, Maharashtra, India",18.45550961,73.81808747,,Pune,Pune,https://cms.sinhgad.edu/sinhgad_engineering_institutes/sits_narhetechnicalcampus/sits_nt_aboutus.aspx
4,"Smt. Kashibai Navale College of Engineering (SKNCOE), Vadgaon (Bk), Pune","Survey No. 44/1, Off Sinhgad Road, Vadgaon (Bk), Pune - 411041, Maharashtra, India",18.46656276,73.83660128,,Pune,Pune,
5," Smt. Kashibai Navale College of Pharmacy (SKNCOP), Kondhwa, Pune","S. No. 40/4 A, Kondhwa-Saswad Road, Kondhwa (Bk), Pune - 411048, Maharashtra, India",18.44139328,73.8956553,,Pune,Pune,
6,"Bhivarabai Sawant Institute of Technology and Research (BSIOTR), Wagholi, Pune","Gate No. 720/2, Nagar Road, Wagholi, Pune - 412207, Maharashtra, India",18.58648448,74.00456576,,Pune,Pune,https://jspmbsiotr.edu.in/
7,"Jayawantrao Sawant College of Engineering (JSCOE), Hadapsar, Pune","Survey No. 58, Indrayani Nagar, Handewadi Road, Hadapsar, Pune - 411028, Maharashtra, India",18.47283584,73.93618804,,Pune,Pune,
8," PES Modern College of Engineering (PESMCOE), JM Road, Pune","1186/A, Off J.M. Road, Shivajinagar, Pune - 411005, Maharashtra, India",18.52636095,73.84700395,,Pune,Pune,https://moderncoe.edu.in/
9,"Sanjivani College of Engineering (SRES), Kopargaon","Sahajanand Nagar, Kopargaon, Ahmednagar - 423603, Maharashtra, India",19.90049466,74.49490303,,Kopargaon,Ahilyanagar,http://sanjivanicoe.org.in/
10,"Pravara Rural Engineering College (PREC), Loni","Loni, Tal: Rahata, Dist: Ahmednagar - 413736, Maharashtra, India",19.57724596,74.44555738,,Loni,Ahilyanagar,http://www.pravaraengg.org.in/
11,"Amrutvahini College of Engineering (AVCOE), Sangamner","Near, Pune - Nashik Hwy, Sangamner, Ghulewadi, Maharashtra 422608",19.61411904,74.18549411,,Sangamner,Ahilyanagar,http://www.avcoe.org/
12,"NBN Sinhgad School of Engineering, Ambegaon, Pune","S. No. 10/1, Ambegaon (Bk.), Off Sinhgad Road, Pune – 411041, Maharashtra, India",18.46269659,73.8359352,,Pune,Pune,http://nbnstic.sinhgad.edu/
